fec_id,state_abbr,first_name,last_name,name,party,inc,tot_rec
H6CA37305,CA,shariff,hasan,shariff hasan,Republican,Challenger,2250.0
H2CA39078,CA,linda,sanchez,linda sanchez,Democrat,Incumbent,1480952.91
H6CA38113,CA,scott,adams,scott adams,Independent,Challenger,0.0
H6CA39137,CA,brett,murdock,brett murdock,Democrat,Challenger,79382.92
H6CA39020,CA,ed,royce,ed royce,Republican,Incumbent,4456337.02
H2CA33048,CA,lucille,roybalallard,lucille roybalallard,Democrat,Incumbent,656653.58
H2CA43245,CA,mark,takano,mark takano,Democrat,Incumbent,1075393.13
H6CA41182,CA,doug,shepherd,doug shepherd,Republican,Challenger,252554.04
H6CA41190,CA,randy,fox,randy fox,Republican,Challenger,67065.0
H4CA42086,CA,timothy,sheridan,timothy sheridan,Democrat,Challenger,162960.71
H2CA37023,CA,ken,calvert,ken calvert,Republican,Incumbent,1452907.26
H4CA42060,CA,kerri,condley,kerri condley,Other,Challenger,87268.86
H4CA23011,CA,maxine,waters,maxine waters,Democrat,Incumbent,954948.76
H6CA44145,CA,omar,navarro,omar navarro,Republican,Open,2846.0
H2CA35100,CA,isadore,hall,isadore hall,Democrat,Open,1881384.39
H6CA44103,CA,nanette,barragan,nanette barragan,Democrat,Open,1910135.24
H6CA44111,CA,marcus,musante,marcus musante,Democrat,Open,47739.0
H8CA36097,CA,janice,hahn,janice hahn,Democrat,Incumbent,11425.19
H6CA44129,CA,christopher,castillo,christopher castillo,Republican,Open,8840.0
H2CA48095,CA,ron,varasteh,ron varasteh,Democrat,Challenger,40303.49
H6CA45118,CA,max,gouron,max gouron,Democrat,Challenger,46132.47
H4CA45089,CA,gregory,raths,gregory raths,Republican,Challenger,238505.07
H4CA45097,CA,mimi,walters,mimi walters,Republican,Incumbent,1977608.5
H6CA46033,CA,loretta,sanchez,loretta sanchez,Democrat,Incumbent,797210.41
H6CA46116,CA,jose,correa,jose correa,Democrat,Open,951732.66
H6CA46124,CA,heberto,sanchez,heberto sanchez,Democrat,Open,3318.96
H6CA46132,CA,jordan,brandman,jordan brandman,Democrat,Open,121807.39
H6CA46140,CA,bao,nguyen,bao nguyen,Democrat,Open,281524.4
H6CA46157,CA,joseph,dunn,joseph dunn,Democrat,Open,427488.35
H6CA46108,CA,lynn,schott,lynn schott,Republican,Open,143586.35
H6CA46165,CA,bob,peterson,bob peterson,Republican,Open,30975.0
H2CA00104,CA,alan,lowenthal,alan lowenthal,Democrat,Incumbent,730648.41
H4CA47069,CA,andrew,whallon,andrew whallon,Republican,Challenger,70741.33
H6CA48237,CA,suzanne,savary,suzanne savary,Democrat,Challenger,110054.08
H6CA48245,CA,scott,baugh,scott baugh,Republican,Challenger,576105.0
H8CA42061,CA,dana,rohrabacher,dana rohrabacher,Republican,Incumbent,887923.35
H6CA49102,CA,douglas,applegate,douglas applegate,Democrat,Challenger,2114731.96
H0CA48024,CA,darrell,issa,darrell issa,Republican,Incumbent,2890440.52
H6CA50258,CA,jeffrey,malloy,jeffrey malloy,Democrat,Challenger,27447.89
H8CA52052,CA,duncan,hunter,duncan hunter,Republican,Incumbent,1203940.64
H2CA50026,CA,juan,vargas,juan vargas,Democrat,Incumbent,1138131.37
H6CA51082,CA,juan,mercado,juan mercado,Democrat,Challenger,8100.0
H6CA51066,CA,juan,hidalgo,juan hidalgo,Republican,Challenger,76403.12
H6CA51074,CA,carlos,sanchez,carlos sanchez,Republican,Challenger,26124.0
H2CA52089,CA,scott,peters,scott peters,Democrat,Incumbent,3604614.7
H4CA52077,CA,fred,simon,fred simon,Republican,Challenger,517.93
H6CA52114,CA,jacquie,atkinson,jacquie atkinson,Republican,Challenger,196307.97
H6CA52122,CA,mike,canada,mike canada,Republican,Challenger,17000.0
H6CA52130,CA,denise,gitsham,denise gitsham,Republican,Challenger,1451738.2
H6CA52148,CA,john,horst,john horst,Republican,Challenger,14502.5
H6CA52155,CA,terry,allvord,terry allvord,Republican,Challenger,19253.77
H0CA49055,CA,susan,davis,susan davis,Democrat,Incumbent,485051.35
H6CA53047,CA,james,ash,james ash,Republican,Challenger,35278.0
H6CA53054,CA,james,veltmeyer,james veltmeyer,Republican,Challenger,122886.07
H6CA53062,CA,matthew,mendoza,matthew mendoza,Republican,Challenger,1464.0
H6CO01141,CO,diana,degette,diana degette,Democrat,Incumbent,1256204.07
H6CO06017,CO,charles,norris,charles norris,Democrat,Challenger,14275.59
H6CO01208,CO,charles,stockham,charles stockham,Republican,Challenger,61218.73
H8CO02137,CO,jared,polis,jared polis,Democrat,Incumbent,1389071.3
H6CO02149,CO,nicholas,morse,nicholas morse,Republican,Challenger,167116.24
H4CO03241,CO,stephen,sheldon,stephen sheldon,Democrat,Challenger,18450.0
H6CO03170,CO,gail,schwartz,gail schwartz,Democrat,Challenger,1704795.54
H6CO03139,CO,scott,tipton,scott tipton,Republican,Incumbent,1970816.16
H2CO03146,CO,tisha,casida,tisha casida,Other,Challenger,0.0
H6CO04160,CO,bob,seay,bob seay,Democrat,Challenger,73843.36
H4CO04090,CO,kenneth,buck,kenneth buck,Republican,Incumbent,1020222.48
H6CO05233,CO,misty,plowright,misty plowright,Democrat,Challenger,14542.37
H6CO05159,CO,douglas,lamborn,douglas lamborn,Republican,Incumbent,590783.39
H6CO05241,CO,calandra,vargas,calandra vargas,Republican,Challenger,21810.52
H2CO00035,CO,perry,haney,perry haney,Democrat,Challenger,1001000.0
H6CO06058,CO,morgan,carroll,morgan carroll,Democrat,Challenger,3158135.43
H6CO06066,CO,kyle,bradell,kyle bradell,Republican,Challenger,1858.9
H8CO06138,CO,mike,coffman,mike coffman,Republican,Incumbent,3568845.95
H6CO07023,CO,edwin,perlmutter,edwin perlmutter,Democrat,Incumbent,1907702.23
H6CO07098,CO,bruce,baker,bruce baker,Republican,Challenger,1050.0
H6CO07106,CO,george,athanasopoulos,george athanasopoulos,Republican,Challenger,54353.6
H8CT01046,CT,john,larson,john larson,Democrat,Incumbent,1624955.0
H2CT01189,CT,matthew,corey,matthew corey,Republican,Challenger,18490.31
H2CT02112,CT,joseph,courtney,joseph courtney,Democrat,Incumbent,1202548.39
H0CT02140,CT,daria,novak,daria novak,Republican,Challenger,51167.66
H6CT02154,CT,ann,brookes,ann brookes,Republican,Challenger,12125.0
H0CT03072,CT,rosa,delaruo,rosa delaruo,Democrat,Incumbent,1146729.78
H8CT04172,CT,jim,himes,jim himes,Democrat,Incumbent,2167398.67
H4CT04114,CT,john,shaban,john shaban,Republican,Challenger,154620.31
H2CT05131,CT,elizabeth,esty,elizabeth esty,Democrat,Incumbent,1989108.93
H6CT05140,CT,matthew,maxwell,matthew maxwell,Republican,Challenger,15782.0
H6CT05157,CT,clay,cope,clay cope,Republican,Challenger,109862.67
H6CT05165,CT,william,stevens,william stevens,Republican,Challenger,7000.0
H0DC00058,DC,eleanor,norton,eleanor norton,Democrat,Incumbent,385250.0
H0DE01017,DE,john,carney,john carney,Democrat,Incumbent,286362.67
H6DE00198,DE,bryon,short,bryon short,Democrat,Open,235976.85
H6DE00206,DE,lisa,rochester,lisa rochester,Democrat,Open,1576041.65
H6DE01089,DE,bryan,townsend,bryan townsend,Democrat,Open,784904.31
H6DE01097,DE,sean,barney,sean barney,Democrat,Open,771856.03
H0DE01025,DE,rose,izzo,rose izzo,Republican,Open,24348.0
H6DE01071,DE,hans,reigle,hans reigle,Republican,Open,221665.5
H6FL01127,FL,amanda,kondratyev,amanda kondratyev,Democrat,Open,258.2
H6FL01176,FL,steven,specht,steven specht,Democrat,Open,61750.03
H2FL01100,FL,jefferson,miller,jefferson miller,Republican,Incumbent,814995.17
H4FL01155,FL,mark,wichern,mark wichern,Republican,Open,79026.0
H6FL01101,FL,brian,frazier,brian frazier,Republican,Open,27815.34
H6FL01119,FL,matt,gaetz,matt gaetz,Republican,Open,1172645.54
H6FL01143,FL,john,mills,john mills,Republican,Open,7875.97
H6FL01150,FL,james,zumwalt,james zumwalt,Republican,Open,139903.23
H6FL01168,FL,cris,dosev,cris dosev,Republican,Open,505278.25
H6FL01184,FL,greg,evers,greg evers,Republican,Open,234714.05
H6FL01218,FL,rebekah,bydlak,rebekah bydlak,Republican,Open,240131.18
H6FL01226,FL,robert,blake,robert blake,Republican,Open,15700.0
H6FL01192,FL,elizabeth,schrey,elizabeth schrey,Other,Open,213.0
H4FL02062,FL,gwen,graham,gwen graham,Democrat,Incumbent,2177145.72
H6FL02257,FL,walter,dartland,walter dartland,Democrat,Open,136763.01
H6FL02265,FL,steve,crapps,steve crapps,Democrat,Open,23975.0
H6FL02190,FL,mary,thomas,mary thomas,Republican,Open,1103175.5
H6FL02208,FL,neal,dunn,neal dunn,Republican,Open,2060858.58
H6FL02216,FL,jeff,moran,jeff moran,Republican,Open,20845.0
H6FL02224,FL,ken,sukhia,ken sukhia,Republican,Open,206903.3
H6FL02240,FL,robert,lapham,robert lapham,Other,Open,18286.6
H6FL03057,FL,ed,emery,ed emery,Democrat,Challenger,182204.42
H6FL03073,FL,thomas,wells,thomas wells,Democrat,Challenger,7916.0
H6FL03081,FL,kenneth,mcgurn,kenneth mcgurn,Democrat,Challenger,602081.92
H2FL06109,FL,theodore,yoho,theodore yoho,Republican,Incumbent,833701.83
H2FL06091,FL,david,bruderly,david bruderly,Democrat,Open,50194.24
H0FL04066,FL,ander,crenshaw,ander crenshaw,Republican,Incumbent,1135726.47
H6FL04097,FL,william,mcclure,william mcclure,Republican,Open,167029.33
H6FL04105,FL,john,rutherford,john rutherford,Republican,Open,835236.7
H6FL04113,FL,lake,ray,lake ray,Republican,Open,243900.44
H6FL04121,FL,hans,tanzler,hans tanzler,Republican,Open,834250.36
H6FL04147,FL,edward,malin,edward malin,Republican,Open,87100.0
H6FL04154,FL,steve,kaufman,steve kaufman,Republican,Open,33529.0
H0FL04033,FL,deborah,pueschel,deborah pueschel,Other,Open,0.0
H0FL02086,FL,alfred,lawson,alfred lawson,Democrat,Challenger,444464.07
H2FL03056,FL,corrine,brown,corrine brown,Democrat,Incumbent,558820.1
H6FL05193,FL,lashonda,holloway,lashonda holloway,Democrat,Challenger,21442.66
H6FL05169,FL,gloreatha,scurrysmith,gloreatha scurrysmith,Republican,Challenger,89177.56
H6FL06126,FL,william,mccullough,william mccullough,Democrat,Challenger,41250.0
H6FL06134,FL,dwayne,taylor,dwayne taylor,Democrat,Challenger,24299.36
H6FL06159,FL,george,pappas,george pappas,Democrat,Challenger,46647.34
H6FL06225,FL,james,mcgovern,james mcgovern,Democrat,Challenger,70196.09
H0FL08042,FL,richard,keller,richard keller,Republican,Challenger,23350.0
H0FL24049,FL,sandy,adams,sandy adams,Republican,Challenger,180743.11
H2FL00292,FL,ronald,desantis,ronald desantis,Republican,Incumbent,4928629.93
H6FL06100,FL,adam,barringer,adam barringer,Republican,Challenger,262812.81
H6FL06118,FL,galloway,galloway,galloway galloway,Republican,Challenger,147620.51
H6FL06142,FL,malcolm,anthony,malcolm anthony,Republican,Challenger,18588.96
H6FL06167,FL,brandon,patty,brandon patty,Republican,Challenger,151347.37
H6FL06175,FL,david,santiago,david santiago,Republican,Challenger,157610.47
H6FL06183,FL,fredrick,costello,fredrick costello,Republican,Challenger,305170.49
H6FL06191,FL,patrick,mooney,patrick mooney,Republican,Challenger,444698.96
H6FL07116,FL,william,phillips,william phillips,Democrat,Challenger,40825.0
H6FL07140,FL,stephanie,murphy,stephanie murphy,Democrat,Challenger,1083923.14
H2FL08055,FL,john,mica,john mica,Republican,Incumbent,1646784.85
H4FL08077,FL,corry,westbrook,corry westbrook,Democrat,Challenger,37564.65
H8FL15107,FL,bill,posey,bill posey,Republican,Incumbent,896408.67
