state_abbr,state,district,fec_id,first_name,last_name,name,party,votes,vote_share,winner
CO,Colorado,7,H6CO07114,martin,buchanan,martin buchanan,Other,18186,0.050236181320958,0
CT,Connecticut,1,H8CT01046,john,larson,john larson,Democrat,187021,0.59765439002956,1
CT,Connecticut,1,H2CT01189,matthew,corey,matthew corey,Republican,105674,0.337697531357354,0
CT,Connecticut,1,H2CT01171,michael,derosa,michael derosa,Other,6563,0.0209730766158025,0
CT,Connecticut,2,H2CT02112,joe,courtney,joe courtney,Democrat,186210,0.563833620483442,1
CT,Connecticut,2,H0CT02140,daria,novak,daria novak,Republican,111149,0.336553048080737,0
CT,Connecticut,2,H6CT02162,jonathan,pelto,jonathan pelto,Other,5332,0.0161450022255395,0
CT,Connecticut,2,H8CT02085,daniel,reale,daniel reale,Other,4949,0.0149852993274934,0
CT,Connecticut,3,H0CT03072,rosa,delauro,rosa delauro,Democrat,192274,0.621483681827144,1
CT,Connecticut,3,H6CT03145,angel,cadena,angel cadena,Republican,95786,0.309607310127707,0
CT,Connecticut,4,H8CT04172,jim,himes,jim himes,Democrat,187811,0.599001722268291,1
CT,Connecticut,4,H4CT04114,john,shaban,john shaban,Republican,120653,0.384808955795114,0
CT,Connecticut,5,H2CT05131,elizabeth,esty,elizabeth esty,Democrat,163499,0.528982600086708,1
CT,Connecticut,5,H6CT05157,clay,cope,clay cope,Other,4901,0.0158566335147307,0
CT,Connecticut,5,H0CT05127,john,pistone,john pistone,Other,28,9.05908464420445e-05,0
DE,Delaware,0,H6DE00206,lisa,rochester,lisa rochester,Democrat,233554,0.555234880182579,1
DE,Delaware,0,H6DE01071,hans,reigle,hans reigle,Republican,172301,0.409616298972994,0
DE,Delaware,0,H6DE00255,mark,perri,mark perri,Other,8326,0.0197936477748193,0
DE,Delaware,0,H2DE00148,scott,gesty,scott gesty,Other,6436,0.0153004944845949,0
DE,Delaware,0,H6DE00214,scott,walker,scott walker,Other,14,3.32826169646253e-05,0
DE,Delaware,0,H6DE00230,robert,franz,robert franz,Other,4,9.50931913275009e-06,0
DE,Delaware,0,H6DE00263,campbell,smith,campbell smith,Other,4,9.50931913275009e-06,0
DE,Delaware,0,H6DE00248,rachelle,linney,rachelle linney,Other,1,2.37732978318752e-06,0
DC,District of Columbia,0,H0DC00058,eleanor,norton,eleanor norton,Democrat,265178,0.88126524562488,1
DC,District of Columbia,0,H6DC00162,martin,moulton,martin moulton,Other,18713,0.0621888563205785,0
DC,District of Columbia,0,H8DC00143,natale,stracuzzi,natale stracuzzi,Other,14336,0.0476427854545938,0
FL,Florida,1,H6FL01119,matt,gaetz,matt gaetz,Republican,255107,0.690998575243915,1
FL,Florida,1,H6FL01176,steven,specht,steven specht,Democrat,114079,0.309001424756085,0
FL,Florida,2,H6FL02208,neal,dunn,neal dunn,Republican,231163,0.673234079484626,1
FL,Florida,2,H6FL02257,walter,dartland,walter dartland,Democrat,102801,0.299395390287801,0
FL,Florida,2,H6FL02240,rob,lapham,rob lapham,Other,9395,0.0273617930930039,0
FL,Florida,2,H6FL02273,antoine,roberts,antoine roberts,Other,3,8.73713456934664e-06,0
FL,Florida,3,H2FL06109,ted,yoho,ted yoho,Republican,193843,0.565634665888532,1
FL,Florida,3,H6FL03081,kenneth,mcgurn,kenneth mcgurn,Democrat,136338,0.397834840968777,0
FL,Florida,3,H6FL03073,tom,wells,tom wells,Other,12519,0.0365304931426904,0
FL,Florida,4,H6FL04105,john,rutherford,john rutherford,Republican,287509,0.701820037006117,1
FL,Florida,4,H2FL06091,david,bruderly,david bruderly,Democrat,113088,0.276051964790486,0
FL,Florida,4,H2FL04138,gary,koniz,gary koniz,Other,9054,0.0221011467990685,0
FL,Florida,4,H6FL04170,daniel,murphy,daniel murphy,Other,11,2.68514043284464e-05,0
FL,Florida,5,H0FL02086,al,lawson,al lawson,Democrat,194549,0.642343020529989,1
FL,Florida,5,H4FL05081,glo,smith,glo smith,Republican,108325,0.357656979470011,0
FL,Florida,6,H2FL00292,ron,desantis,ron desantis,Republican,213519,0.5856735332035,1
FL,Florida,6,H6FL06126,william,mccullough,william mccullough,Democrat,151051,0.4143264667965,0
FL,Florida,7,H6FL07140,stephanie,murphy,stephanie murphy,Democrat,182039,0.51473611287837,1
FL,Florida,7,H2FL08055,john,mica,john mica,Republican,171583,0.485170575843689,0
FL,Florida,7,H6FL07157,mike,plaskon,mike plaskon,Other,33,9.33112779403656e-05,0
FL,Florida,8,H8FL15107,bill,posey,bill posey,Republican,246483,0.631099879404242,1
FL,Florida,8,H4FL08077,corry,westbrook,corry westbrook,Democrat,127127,0.325498449665993,0
FL,Florida,8,H6FL08254,bill,stinson,bill stinson,Other,16951,0.0434016709297651,0
FL,Florida,9,H6FL09179,darren,soto,darren soto,Democrat,195311,0.574848202118548,1
FL,Florida,9,H6FL09195,wayne,liebnitzky,wayne liebnitzky,Republican,144450,0.425151797881452,0
FL,Florida,10,H2FL08063,val,demings,val demings,Democrat,198491,0.648686717496381,1
FL,Florida,10,H6FL05177,thuy,lowe,thuy lowe,Republican,107498,0.351313282503619,0
FL,Florida,11,H0FL08208,daniel,webster,daniel webster,Republican,258016,0.653670079220914,1
FL,Florida,11,H4FL11071,dave,koller,dave koller,Democrat,124713,0.315953881115426,0
FL,Florida,11,H2FL05192,bruce,riggs,bruce riggs,Other,11990,0.0303760396636595,0
FL,Florida,12,H6FL09070,gus,bilirakis,gus bilirakis,Republican,253559,0.685908204366609,1
FL,Florida,12,H6FL12181,robert,tager,robert tager,Democrat,116110,0.314091795633391,0
FL,Florida,13,H6FL13205,charlie,crist,charlie crist,Democrat,184693,0.519030918216512,1
FL,Florida,13,H4FL13101,david,jolly,david jolly,Republican,171149,0.480969081783488,0
FL,Florida,14,H6FL11126,kathy,castor,kathy castor,Democrat,195789,0.617870656437671,1
