1,STATE ABBREVIATION,STATE,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF ELECTION VOTES (LA),GE RUNOFF ELECTION % (LA),"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",GE WINNER INDICATOR,FOOTNOTES
183,AR,Arkansas,,n/a,,,,,,,,,,,,,,,,,,
184,AR,Arkansas,1,H0AR01083,(I),Rick ,Crawford,"Crawford, Rick ",,R,Unopposed,,,,183866,0.762780702518596,,,,,W,
185,AR,Arkansas,1,H6AR01114,,Mark ,West,"West, Mark ",,LIB,,,,,57181,0.237219297481404,,,,,,
186,AR,Arkansas,1,n/a,,,,,District Votes:,,,,,,241047,,,,,,,
187,AR,Arkansas,,n/a,,,,,,,,,,,,,,,,,,
188,AR,Arkansas,2,H4AR02141,(I),French,Hill,"Hill, French",,R,86474,0.845422104902967,,,176472,0.583447947524334,,,,,W,
189,AR,Arkansas,2,H6AR02252 ,,Brock,Olree,"Olree, Brock",,R,15811,0.154577895097033,,,,,,,,,,
190,AR,Arkansas,2,n/a,,,,,Party Votes:,R,102285,,,,,,,,,,,
191,AR,Arkansas,2,H6AR02245 ,,Dianne ,Curry,"Curry, Dianne ",,D,Unopposed,,,,111347,0.368133067075751,,,,,,
192,AR,Arkansas,2,H2AR02061,,Chris,Hayes,"Hayes, Chris",,LIB,,,,,14342,0.047417213288193,,,,,,
193,AR,Arkansas,2,n/a,,,Scattered,Scattered,,W,,,,,303,0.00100177211172239,,,,,,
194,AR,Arkansas,2,n/a,,,,,District Votes:,,102285,,,,302464,,,,,,,
195,AR,Arkansas,,n/a,,,,,,,,,,,,,,,,,,
196,AR,Arkansas,3,H0AR03055,(I),Steve,Womack,"Womack, Steve",,R,Unopposed,,,,217192,0.773181159600864,,,,,W,
197,AR,Arkansas,3,H6AR03110,,Steve,Isaacson,"Isaacson, Steve",,LIB,,,,,63715,0.226818840399136,,,,,,
198,AR,Arkansas,3,n/a,,,,,District Votes:,,,,,,280907,,,,,,,
199,AR,Arkansas,,n/a,,,,,,,,,,,,,,,,,,
200,AR,Arkansas,4,H4AR04048,(I),Bruce,Westerman,"Westerman, Bruce",,R,Unopposed,,,,182885,0.74904058420947,,,,,W,
201,AR,Arkansas,4,H6AR04076,,Kerry,Hicks,"Hicks, Kerry",,LIB,,,,,61274,0.25095941579053,,,,,,
202,AR,Arkansas,4,n/a,,,,,District Votes:,,,,,,244159,,,,,,,
203,AR,Arkansas,,n/a,,,,,,,,,,,,,,,,,,
204,AR,Arkansas,H,n/a,,,,,Total State Votes:,,102285,,,,1068577,,,,,,,
205,AR,Arkansas,,n/a,,,,,,,,,,,,,,,,,,
206,,,,n/a,,,,,,,,,,,,,,,,,,
207,CA,California,1,H2CA02142,(I),Doug,La Malfa,"La Malfa, Doug",,R,86136,0.407906575869221,,,185448,0.590531021921054,,,,,W,
208,CA,California,1,H6CA01194,,Jim,Reed,"Reed, Jim",,D,59665,0.282550221153027,,,128588,0.409468978078946,,,,,,
209,CA,California,1,H6CA01186,,Joe,Montes,"Montes, Joe",,R,35875,0.169890039116146,,,,,,,,,,
210,CA,California,1,H6CA01202 ,,David,Peterson,"Peterson, David",,D,13430,0.0635992536677306,,,,,,,,,,
211,CA,California,1,H2CA01151,,Gary Allen,Oxley,"Oxley, Gary Allen",,R,6885,0.0326046806777606,,,,,,,,,,
212,CA,California,1,H4CA04110,,Jeff,Gerlach,"Gerlach, Jeff",,NOP,4958,0.0234791585766648,,,,,,,,,,
213,CA,California,1,H2CA01136,,Gregory,Cheadle,"Cheadle, Gregory",,R,4217,0.0199700709394505,,,,,,,,,,
